,seed,nodes,constrained,method_OL,method_OA,method_NO,component,B_est,B_real
185,8,1500,0,1,0,0,17,3.8811235,4.0
186,8,1500,0,1,0,0,18,5.1727166,5.0
187,8,1500,0,1,0,0,19,5.232469,5.0
188,8,1500,0,1,0,0,20,3.2495353,3.0
189,9,1500,0,1,0,0,0,1.140635,1.0
190,9,1500,0,1,0,0,1,0.07445406,0.0
191,9,1500,0,1,0,0,2,-0.91742027,-1.0
192,9,1500,0,1,0,0,3,0.05611961,0.0
193,9,1500,0,1,0,0,4,1.0352813,1.0
194,9,1500,0,1,0,0,5,-0.9318599,-1.0
195,9,1500,0,1,0,0,6,0.9558719,1.0
196,9,1500,0,1,0,0,7,-0.007607921,0.0
197,9,1500,0,1,0,0,8,-0.9977733,-1.0
198,9,1500,0,1,0,0,9,0.016911043,0.0
199,9,1500,0,1,0,0,10,1.0100965,1.0
200,9,1500,0,1,0,0,11,-1.0319912,-1.0
201,9,1500,0,1,0,0,12,-3.9830892,-4.0
202,9,1500,0,1,0,0,13,-0.09626169,0.0
203,9,1500,0,1,0,0,14,3.890773,4.0
204,9,1500,0,1,0,0,15,0.22833854,0.0
205,9,1500,0,1,0,0,16,-3.888814,-4.0
206,9,1500,0,1,0,0,17,4.094755,4.0
207,9,1500,0,1,0,0,18,4.896742,5.0
208,9,1500,0,1,0,0,19,4.9955297,5.0
209,9,1500,0,1,0,0,20,3.007589,3.0
210,10,1500,0,1,0,0,0,0.37076095,1.0
211,10,1500,0,1,0,0,1,-0.5801679,0.0
212,10,1500,0,1,0,0,2,-1.634852,-1.0
213,10,1500,0,1,0,0,3,-0.007285374,0.0
214,10,1500,0,1,0,0,4,0.9677501,1.0
215,10,1500,0,1,0,0,5,-1.0621566,-1.0
216,10,1500,0,1,0,0,6,1.1538913,1.0
217,10,1500,0,1,0,0,7,0.14495629,0.0
218,10,1500,0,1,0,0,8,-0.80592674,-1.0
219,10,1500,0,1,0,0,9,-0.5847666,0.0
220,10,1500,0,1,0,0,10,0.48102674,1.0
221,10,1500,0,1,0,0,11,-1.4887873,-1.0
222,10,1500,0,1,0,0,12,-5.183212,-4.0
223,10,1500,0,1,0,0,13,-1.0791007,0.0
224,10,1500,0,1,0,0,14,2.8933797,4.0
225,10,1500,0,1,0,0,15,-1.3441149,0.0
226,10,1500,0,1,0,0,16,-5.2507534,-4.0
