,n,coef,emp_var,theo_var
170,430000,3,3.1826987017774593e-10,3.486208092257092e-10
171,430000,4,5.830708341428487e-20,0.0
172,440000,1,6.096602624777025e-20,-0.0
173,440000,2,3.99076424301434e-10,-3.407180888776207e-10
174,440000,3,3.990764243015107e-10,3.407180888776207e-10
175,440000,4,6.09660298014366e-20,0.0
176,450000,1,3.2914761898215056e-20,-0.0
177,450000,2,3.108724974412959e-10,-3.331842133050189e-10
178,450000,3,3.1087249744044195e-10,3.331842133050189e-10
179,450000,4,3.291475317684516e-20,0.0
180,460000,1,7.602721943154148e-20,-0.0
181,460000,2,3.788643002922707e-10,-3.2599010097536465e-10
182,460000,3,3.788643002924467e-10,3.2599010097536465e-10
183,460000,4,7.602722170435445e-20,0.0
184,470000,1,5.117349961216709e-20,-0.0
185,470000,2,3.3099795623730946e-10,-3.189761857399405e-10
186,470000,3,3.309979562381948e-10,3.189761857399405e-10
187,470000,4,5.1173500039341494e-20,0.0
188,480000,1,7.332028572862721e-20,-0.0
189,480000,2,3.1536287882422164e-10,-3.1233465307974136e-10
190,480000,3,3.1536287882472994e-10,3.1233465307974136e-10
191,480000,4,7.332027240725934e-20,0.0
192,490000,1,6.426126249757686e-20,-0.0
193,490000,2,3.490942260950561e-10,-3.059690495902133e-10
194,490000,3,3.490942260951225e-10,3.059690495902133e-10
195,490000,4,6.426124512611382e-20,0.0
196,500000,1,2.0258297329030023e-20,-0.0
197,500000,2,1.9306925486437058e-10,-2.998037176256985e-10
198,500000,3,1.9306925486395686e-10,2.998037176256985e-10
199,500000,4,2.0258296423002106e-20,0.0
200,510000,1,3.467012859338078e-20,-0.0
201,510000,2,2.844392714910941e-10,-2.939337075847965e-10
202,510000,3,2.844392714907372e-10,2.939337075847965e-10
203,510000,4,3.467011493540687e-20,0.0
204,520000,1,6.995161303982558e-20,-0.0
205,520000,2,2.721091398703504e-10,-2.8833716087250347e-10
206,520000,3,2.721091398701363e-10,2.8833716087250347e-10
